CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(10,500, -66,917), properties={country=Venezuela, name=Caracas, coastal=true, population=3.27}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(40,400, -3,717), properties={country=Spain, name=Madrid, coastal=false, population=3.17}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(41,900, 12,500), properties={country=Italy, name=Rome, coastal=false, population=2.87}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(37,967, 23,717), properties={country=Greece, name=Athens, coastal=true, population=3.09}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(41,014, 28,955), properties={country=Turkey, name=Istanbul, coastal=true, population=14.10}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(44,427, 26,103), properties={country=Romania, name=Bucharest, coastal=false, population=1.88}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(-31,952, 115,859), properties={country=Australia, name=Perth, coastal=true, population=2.02}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(18,975, 72,826), properties={country=India, name=Mumbai, coastal=true, population=12.48}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(60,171, 24,938), properties={country=Finland, name=Helsinki, coastal=true, population=1.11}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(59,329, 18,069), properties={country=Sweden, name=Stockholm, coastal=true, population=1.37}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(64,133, -21,933), properties={country=Iceland, name=Reykjavik, coastal=true, population=0.12}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(32,715, -117,162), properties={country=United States, name=San Diego, coastal=true, population=1.38}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(43,700, -79,400), properties={country=Canada, name=Toronto, coastal=false, population=2.62}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(55,750, 37,750), properties={country=Russia, name=Moscow, coastal=false, population=12.20}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(35,696, 51,423), properties={country=Iran, name=Tehran, coastal=false, population=8.15}, selected=false, hidden=false, id=null]
CityMarker [clicked=false, radius=10.0, color=-10263709, strokeColor=-11382190, strokeWeight=1, highlightColor=-4640977, highlightStrokeColor=-7068379, location=(30,050, 31,233), properties={country=Egypt, name=Cairo, coastal=false, population=10.23}, selected=false, hidden=false, id=null]
